,time,open,high,low,close,tick_volume,spread,real_volume
0,1673263260,1.21675,1.21691,1.2166,1.21684,76,5,0
1,1673263320,1.21684,1.21692,1.21662,1.21669,76,5,0
2,1673263380,1.21671,1.21671,1.21647,1.21648,58,5,0
3,1673263440,1.2165,1.21693,1.21635,1.21691,92,5,0
4,1673263500,1.2169,1.21725,1.2169,1.21696,130,5,0
5,1673263560,1.21695,1.21703,1.21661,1.21673,109,5,0
6,1673263620,1.21673,1.21676,1.21628,1.21656,100,5,0
7,1673263680,1.21655,1.21664,1.21635,1.2166,91,5,0
8,1673263740,1.21658,1.21669,1.2164,1.21665,124,5,0
9,1673263800,1.21666,1.21667,1.2163,1.2163,45,5,0
10,1673263860,1.2163,1.21634,1.21581,1.2160199999999999,96,5,0
11,1673263920,1.2160199999999999,1.21631,1.21585,1.21628,100,5,0
12,1673263980,1.21628,1.21666,1.21628,1.21644,107,4,0
13,1673264040,1.21644,1.21671,1.21632,1.21657,108,5,0
14,1673264100,1.21657,1.21682,1.21651,1.21654,110,5,0
15,1673264160,1.21654,1.21673,1.21645,1.21654,62,5,0
16,1673264220,1.21662,1.21705,1.21662,1.2169699999999999,144,5,0
17,1673264280,1.21699,1.21709,1.21696,1.21706,79,5,0
18,1673264340,1.21706,1.21708,1.21633,1.21639,125,5,0
19,1673264400,1.2164,1.2165,1.21606,1.21639,153,5,0
20,1673264460,1.21639,1.2164,1.21616,1.21624,58,5,0
21,1673264520,1.21627,1.21642,1.2162,1.21631,55,5,0
22,1673264580,1.21629,1.21651,1.21625,1.21631,66,5,0
23,1673264640,1.21631,1.21666,1.21631,1.21641,123,5,0
24,1673264700,1.2164,1.21672,1.21639,1.21671,93,5,0
25,1673264760,1.21671,1.2171,1.21664,1.217,88,5,0
26,1673264820,1.217,1.2174,1.2169699999999999,1.21715,108,5,0
27,1673264880,1.21715,1.21718,1.21692,1.21705,110,5,0
28,1673264940,1.21706,1.21715,1.21676,1.21695,146,5,0
29,1673265000,1.21695,1.217,1.21673,1.21678,93,5,0
30,1673265060,1.21678,1.21678,1.21646,1.21648,66,5,0
31,1673265120,1.21648,1.21659,1.21628,1.21649,78,5,0
